,id,name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,MGLT,starship_class,pilots,films
33,34,Snowspeeder,T-47 airspeeder,Incom Corporation,,5.3,650.0,2.0,0.0,10.0,2 days,,,Airspeeder,Luke Skywalker,The Empire Strikes Back
37,38,Razor Crest,ST-70 Assault Ship,Kuat Drive Yards,,24.0,1000.0,2.0,6.0,50000.0,1 month,1.0,75.0,Assault ship,Din Djarin,The Mandalorian
6,7,B-wing,A/SF-01 B-wing starfighter,Slayn & Korpil,220000.0,16.9,950.0,1.0,0.0,45.0,1 week,2.0,91.0,Assault starfighter,,Return of the Jedi
7,8,Y-wing,BTL Y-wing starfighter,Koensayr Manufacturing,135000.0,23.4,1000.0,2.0,0.0,110.0,1 week,1.0,80.0,Assault starfighter,,"A New Hope, The Empire Strikes Back, Return of the Jedi"
45,46,Havoc Marauder,Omicron-class attack shuttle,Cygnus Spaceworks,,22.3,1050.0,2.0,12.0,70000.0,1 month,1.0,70.0,Attack shuttle,Clone Force 99,The Bad Batch
35,36,Phantom,VCX-series auxiliary starfighter,Corellian Engineering Corporation,,14.1,1050.0,1.0,6.0,40000.0,1 month,1.0,90.0,Auxiliary starfighter,Ezra Bridger,Star Wars Rebels
58,59,Droid Control Ship,Lucrehulk-class battleship,Hoersch-Kessel Drive,,3170.0,950.0,150.0,0.0,55000000.0,6 years,2.0,60.0,Battleship,,The Phantom Menace
22,23,TIE Bomber,TIE/sa bomber,Sienar Fleet Systems,,7.8,850.0,1.0,0.0,40.0,2 days,1.0,60.0,Bomber,,The Empire Strikes Back
23,24,Imperial Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,150000000.0,1600.0,975.0,47060.0,0.0,36000000.0,2 years,2.0,60.0,Capital ship,,"A New Hope, The Empire Strikes Back, Return of the Jedi"
13,14,Venator-class Star Destroyer,Venator-class,Kuat Drive Yards,,1137.0,975.0,7400.0,2000.0,20000000.0,6 years,2.0,60.0,Capital ship,,"Revenge of the Sith, The Clone Wars"
59,60,Venator-class Star Destroyer,Venator-class,Kuat Drive Yards,,1137.0,975.0,7400.0,2000.0,20000000.0,6 years,2.0,60.0,Capital ship,,"Revenge of the Sith, The Clone Wars"
